id,strain_stress,x,y,z
313,0.035514787272701,0.00675,0.00275,0
314,0.038031618148989,0.00725,0.00275,0
315,0.03065747060385,0.00775,0.00275,0
316,0.014482323744775,0.00825,0.00275,0
317,-0.0068795357033558,0.00875,0.00275,0
318,-0.028422987340638,0.00925,0.00275,0
319,-0.045367070111058,0.00975,0.00275,0
320,-0.054694845357987,0.01025,0.00275,0
321,-0.055849361056862,0.01075,0.00275,0
322,-0.050723707599458,0.01125,0.00275,0
323,-0.042312274698918,0.01175,0.00275,0
324,-0.033865075429525,0.01225,0.00275,0
325,-0.0270913802724,0.01275,0.00275,0
326,-0.023311209249085,0.01325,0.00275,0
327,-0.022467640262668,0.01375,0.00275,0
328,-0.026690538081229,0.01425,0.00275,0
329,-0.039223227971618,0.01475,0.00275,0
330,-0.039223227971622,0.01525,0.00275,0
331,-0.026690538081214,0.01575,0.00275,0
332,-0.022467640262621,0.01625,0.00275,0
333,-0.023311209249046,0.01675,0.00275,0
334,-0.027091380272349,0.01725,0.00275,0
335,-0.033865075429491,0.01775,0.00275,0
336,-0.042312274698873,0.01825,0.00275,0
337,-0.050723707599435,0.01875,0.00275,0
338,-0.055849361056839,0.01925,0.00275,0
339,-0.054694845357991,0.01975,0.00275,0
340,-0.045367070111074,0.02025,0.00275,0
341,-0.028422987340669,0.02075,0.00275,0
342,-0.0068795357033957,0.02125,0.00275,0
343,0.014482323744739,0.02175,0.00275,0
344,0.030657470603827,0.02225,0.00275,0
345,0.03803161814897,0.02275,0.00275,0
346,0.035514787272686,0.02325,0.00275,0
347,0.024879746679511,0.02375,0.00275,0
348,0.010043349047926,0.02425,0.00275,0
349,-0.0041507067152108,0.02475,0.00275,0
350,-0.013615114757402,0.02525,0.00275,0
351,-0.016148254029062,0.02575,0.00275,0
352,-0.012132702418131,0.02625,0.00275,0
353,-0.0040975854805993,0.02675,0.00275,0
354,0.0042849745063223,0.02725,0.00275,0
355,0.0096972486556848,0.02775,0.00275,0
356,0.010394658636737,0.02825,0.00275,0
357,0.0067608800539697,0.02875,0.00275,0
358,0.00092137152089774,0.02925,0.00275,0
359,-0.0042838457379019,0.02975,0.00275,0
360,-0.0014988071778365,0.00025,0.00325,0
361,0.0035392736188296,0.00075,0.00325,0
362,0.0068430040212378,0.00125,0.00325,0
363,0.0066073445581235,0.00175,0.00325,0
364,0.0023876802229544,0.00225,0.00325,0
365,-0.0043769415357845,0.00275,0.00325,0
366,-0.010749929433853,0.00325,0.00325,0
367,-0.013358158647179,0.00375,0.00325,0
368,-0.0099018612809617,0.00425,0.00325,0
369,-0.00019633084206709,0.00475,0.00325,0
370,0.013331231130693,0.00525,0.00325,0
371,0.026398668596999,0.00575,0.00325,0
372,0.034065070289256,0.00625,0.00325,0
373,0.03258683761821,0.00675,0.00325,0
374,0.020683827025865,0.00725,0.00325,0
375,0.00029715924719273,0.00775,0.00325,0
376,-0.023909370166438,0.00825,0.00325,0
377,-0.04585674020434,0.00875,0.00325,0
378,-0.060001697710039,0.00925,0.00325,0
379,-0.063019917654423,0.00975,0.00325,0
380,-0.054773550985233,0.01025,0.00325,0
381,-0.038065257888523,0.01075,0.00325,0
382,-0.017334039883071,0.01125,0.00325,0
383,0.002899755555547,0.01175,0.00325,0
384,0.019674515828957,0.01225,0.00325,0
385,0.031635638247535,0.01275,0.00325,0
386,0.039161604941769,0.01325,0.00325,0
387,0.042432863248782,0.01375,0.00325,0
388,0.040980574523803,0.01425,0.00325,0
389,0.031029790214222,0.01475,0.00325,0
390,0.031029790214219,0.01525,0.00325,0
391,0.040980574523805,0.01575,0.00325,0
392,0.042432863248806,0.01625,0.00325,0
393,0.039161604941774,0.01675,0.00325,0
394,0.031635638247575,0.01725,0.00325,0
395,0.019674515828996,0.01775,0.00325,0
396,0.0028997555556331,0.01825,0.00325,0
397,-0.017334039883003,0.01875,0.00325,0
398,-0.038065257888448,0.01925,0.00325,0
399,-0.05477355098516,0.01975,0.00325,0
400,-0.063019917654373,0.02025,0.00325,0
401,-0.060001697710032,0.02075,0.00325,0
402,-0.045856740204365,0.02125,0.00325,0
403,-0.023909370166481,0.02175,0.00325,0
404,0.00029715924714675,0.02225,0.00325,0
405,0.020683827025821,0.02275,0.00325,0
406,0.032586837618175,0.02325,0.00325,0
407,0.034065070289243,0.02375,0.00325,0
408,0.026398668596997,0.02425,0.00325,0
409,0.013331231130708,0.02475,0.00325,0
410,-0.00019633084205209,0.02525,0.00325,0
411,-0.0099018612809458,0.02575,0.00325,0
412,-0.013358158647169,0.02625,0.00325,0
413,-0.010749929433848,0.02675,0.00325,0
414,-0.004376941535783,0.02725,0.00325,0
